sentence,is_offensive,label_ko,label_en,word_index
저런 여자들은 운전하면 안 돼. 감정 조절도 못하잖아.,yes,성차별 발화,Sexism,"(3,4),(7,10)"
이민자들이 우리 일자리를 다 빼앗고 있어.,yes,"소수자 공격 (성, 장애, 이민자 등)",Minority abuse,"(0,3),(10,13)"
자살이 답일지도 몰라. 모든 게 너무 힘들어.,yes,"자해, 자살 조장",Suicide,"(0,2)"
"한국인들은 다 똑같아, 외국인보다 못해.",yes,국적 차별,Nation,"(0,4),(14,16)"
너 같은 늙은이는 요즘 세상 이해도 못 하지.,yes,세대 갈등 (연령 혐오 등),Age,"(4,8)"
정치인들은 다 똑같아. 쓰레기야.,yes,정치 비하,Political,"(0,4),(7,10)"
그 영화는 19금이야. 청소년이 보면 안 돼.,no,청소년 유해 매체,Youth harmful,
그는 유대인이라서 믿을 수 없어.,yes,종교 발화,Religious,"(3,6)"
이건 범죄를 미화하는 콘텐츠야.,yes,"범죄, 허위 조장",Crime,"(3,5)"
이 발언은 특정 집단을 은근히 배제하려는 의도가 보여.,yes,배제적 표현,Exclusionary,"(10,17)"
